experiment,family,model,score,hyperparameters,threshold_source,data_split,metric_split,n_samples,n_id,n_ood,auroc,aupr,fpr95,threshold,f1,precision,recall,tpr,fpr,accuracy,balanced_accuracy,tn,fp,fn,tp,fit_seconds,model_key,score_seconds
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,train_id95,validation,Overall,2209,496,1713,0.9158380882436021,0.9764040370287651,0.6310483870967742,0.03368224948644638,0.8805874840357599,0.9718111346018323,0.8050204319906596,0.8050204319906596,0.08064516129032258,0.8306926210955183,0.8621876353501685,456,40,334,1379,0.010633624624460936,radius_p90_0,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,train_id95,validation,Near-OOD,1029,496,533,0.7452603946014645,0.7603901127464552,0.780241935483871,0.03368224948644638,0.5345268542199488,0.8393574297188755,0.3921200750469043,0.3921200750469043,0.08064516129032258,0.6462585034013606,0.6557374568782909,456,40,324,209,0.010633624624460936,radius_p90_0,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,train_id95,validation,Far-OOD,1676,496,1180,0.9928871651175505,0.9967377954447305,0.020161290322580645,0.03368224948644638,0.9790794979079498,0.9669421487603306,0.9915254237288136,0.9915254237288136,0.08064516129032258,0.9701670644391408,0.9554401312192455,456,40,10,1170,0.010633624624460936,radius_p90_0,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,train_id95,eval,Overall,8823,1984,6839,0.9135499554264206,0.9760619131636692,0.6134072580645161,0.03368224948644638,0.8758936460759901,0.9718360071301247,0.7971925720134523,0.7971925720134523,0.07963709677419355,0.8248894933696022,0.8587777376196294,1826,158,1387,5452,0.010633624624460936,radius_p90_0,0.004091499838978052
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,train_id95,eval,Near-OOD,4122,1984,2138,0.7333737722170253,0.7527781497124871,0.8160282258064516,0.03368224948644638,0.5061808718282368,0.8311965811965812,0.3638914873713751,0.3638914873713751,0.07963709677419355,0.6317321688500728,0.6421271952985907,1826,158,1360,778,0.010633624624460936,radius_p90_0,0.004091499838978052
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,train_id95,eval,Far-OOD,6685,1984,4701,0.9954935163074432,0.9980042898925117,0.02066532258064516,0.03368224948644638,0.9805937270533934,0.9673013245033113,0.994256541161455,0.994256541161455,0.07963709677419355,0.9723261032161555,0.9573097221936308,1826,158,27,4674,0.010633624624460936,radius_p90_0,0.004091499838978052
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,validation,Overall,2209,496,1713,0.9158380882436021,0.9764040370287651,0.6310483870967742,0.09347794204950333,0.855072463768116,0.981103552532124,0.7577349678925861,0.7577349678925861,0.05040322580645161,0.8008148483476686,0.8536658710430672,471,25,415,1298,0.010633624624460936,radius_p90_0,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,validation,Near-OOD,1029,496,533,0.7452603946014645,0.7603901127464552,0.780241935483871,0.09347794204950333,0.3988522238163558,0.8475609756097561,0.2607879924953096,0.2607879924953096,0.05040322580645161,0.5928085519922255,0.605192383344429,471,25,394,139,0.010633624624460936,radius_p90_0,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,validation,Far-OOD,1676,496,1180,0.9928871651175505,0.9967377954447305,0.020161290322580645,0.09347794204950333,0.9805414551607445,0.9788851351351351,0.9822033898305085,0.9822033898305085,0.05040322580645161,0.9725536992840096,0.9659000820120285,471,25,21,1159,0.010633624624460936,radius_p90_0,
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,eval,Overall,8823,1984,6839,0.9135499554264206,0.9760619131636692,0.6134072580645161,0.09347794204950333,0.8511978778081738,0.9827718223583461,0.7506945459862553,0.7506945459862553,0.04536290322580645,0.7965544599342628,0.8526658213802244,1894,90,1705,5134,0.010633624624460936,radius_p90_0,0.004091499838978052
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,eval,Near-OOD,4122,1984,2138,0.7333737722170253,0.7527781497124871,0.8160282258064516,0.09347794204950333,0.37963636363636366,0.8529411764705882,0.2441534144059869,0.2441534144059869,0.04536290322580645,0.5861232411450752,0.5993952555900902,1894,90,1616,522,0.010633624624460936,radius_p90_0,0.004091499838978052
experiment2_hyperparameter_sensitivity,Class-wise boundary,Class-wise radius,distance_minus_radius,radius_percentile=90.0,validation_id95,eval,Far-OOD,6685,1984,4701,0.9954935163074432,0.9980042898925117,0.02066532258064516,0.09347794204950333,0.9809635222801234,0.980859208847299,0.9810678579025739,0.9810678579025739,0.04536290322580645,0.9732236350037398,0.9678524773383836,1894,90,89,4612,0.010633624624460936,radius_p90_0,0.004091499838978052
